Released_Year,Certificate,Runtime,Genre,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross,writer,country_origin,filming_location,production_company,language,oscar
2017.0,1,113,22,86.0,119,36,403,407,228,439406.0,107825862.0,161,106,73,525,9,3.0
1997.0,1,89,141,77.0,299,451,29,64,652,65341.0,933933.0,700,172,646,690,232,
1985.0,0,116,44,87.0,426,438,131,482,169,1058081.0,210609762.0,541,112,640,565,6,0.0
1989.0,0,108,44,57.0,426,438,131,482,856,481918.0,118500000.0,541,112,279,565,6,1.0
2018.0,1,124,100,,23,52,578,254,788,27978.0,,700,172,646,690,232,
1973.0,1,94,22,93.0,485,420,724,867,725,66009.0,,631,112,496,655,149,1.0
2015.0,1,163,2,,267,537,282,599,474,72245.0,8178001.0,660,45,646,185,201,0.0
2012.0,0,151,105,,39,497,631,315,795,75721.0,2804874.0,45,45,188,553,198,0.0
1975.0,1,185,48,89.0,463,534,504,634,311,149843.0,,599,106,146,417,55,0.0
1991.0,0,116,106,69.0,231,200,400,395,455,113240.0,6153939.0,311,106,417,108,6,3.0
2005.0,1,140,0,70.0,83,128,539,454,537,1308302.0,206852432.0,66,152,541,657,112,1.0
1993.0,1,76,63,,276,78,232,162,249,43690.0,5617391.0,18,112,633,622,156,0.0
2000.0,4,114,4,81.0,282,590,5,807,843,169091.0,,700,172,646,690,232,
2015.0,4,137,182,79.0,71,3,207,693,37,73964.0,83861.0,83,112,261,433,7,1.0
1991.0,0,84,81,95.0,151,363,603,697,402,417178.0,218967620.0,400,142,630,613,28,0.0
1991.0,0,84,81,95.0,151,363,603,697,402,417178.0,218967620.0,458,15,195,416,5,0.0
1991.0,0,84,81,95.0,151,363,603,697,402,417178.0,218967620.0,82,57,316,232,6,0.0
1991.0,0,84,81,95.0,151,363,603,697,402,417178.0,218967620.0,603,112,534,609,6,2.0
1991.0,0,84,81,95.0,151,363,603,697,402,417178.0,218967620.0,406,58,646,155,205,0.0
1991.0,0,84,81,95.0,151,363,603,697,402,417178.0,218967620.0,201,112,646,243,6,0.0
1991.0,0,84,81,95.0,151,363,603,697,402,417178.0,218967620.0,362,14,646,200,4,0.0
2013.0,3,109,172,94.0,408,201,418,759,57,141457.0,8114627.0,700,172,646,690,232,0.0
1995.0,3,101,172,77.0,408,201,418,29,310,272291.0,5535405.0,522,114,132,91,55,0.0
2004.0,3,80,172,90.0,408,201,418,850,556,236311.0,5820649.0,521,34,530,670,28,1.0
1999.0,3,113,102,90.0,458,320,98,117,429,312542.0,22858926.0,89,112,487,50,6,3.0
1979.0,1,130,100,83.0,176,481,717,558,355,65625.0,30177511.0,300,112,100,56,138,0.0
1967.0,4,100,172,,296,107,350,572,282,40274.0,26331.0,700,172,646,690,232,
1959.0,0,212,48,90.0,526,115,315,785,321,219466.0,74700000.0,369,112,390,390,124,0.0
2013.0,0,186,90,,396,204,728,646,60,61137.0,1626289.0,500,45,396,432,198,0.0
2003.0,0,125,47,58.0,495,202,14,85,403,415218.0,66257002.0,121,112,638,126,16,1.0
2014.0,0,102,62,74.0,114,127,684,756,371,410983.0,222527828.0,351,112,629,616,6,0.0
2000.0,3,110,162,74.0,466,283,419,355,372,126770.0,21995263.0,390,90,212,476,6,3.0
2004.0,0,88,130,72.0,281,555,284,310,409,50610.0,238507.0,700,172,646,690,232,
2011.0,4,157,122,82.0,362,455,826,804,6,41995.0,138730.0,700,172,646,690,232,
2014.0,4,119,100,87.0,14,439,833,209,35,580291.0,42340598.0,21,112,505,366,6,0.0
2005.0,0,122,137,,442,21,641,770,69,33354.0,733094.0,564,45,49,43,199,0.0
2005.0,0,122,137,,442,21,641,770,69,33354.0,733094.0,442,20,610,307,183,0.0
2001.0,4,144,157,74.0,411,333,219,831,247,364254.0,108638745.0,416,152,537,437,148,0.0
2001.0,4,144,157,74.0,411,333,219,831,247,364254.0,108638745.0,700,172,646,274,232,0.0
2010.0,4,108,179,79.0,97,458,555,857,912,699673.0,106954678.0,418,112,582,453,41,0.0
1982.0,1,117,35,84.0,411,249,681,762,225,693827.0,32868943.0,225,152,113,490,53,2.0
2017.0,1,164,27,81.0,110,249,683,27,184,461823.0,92054159.0,226,154,563,22,6,0.0
1974.0,4,93,121,73.0,324,134,254,780,320,125993.0,119500000.0,428,112,623,151,180,3.0
2006.0,4,143,52,64.0,120,382,171,363,469,499439.0,57366262.0,86,135,141,666,116,5.0
1984.0,4,99,132,82.0,231,200,390,239,176,87745.0,2150000.0,311,112,306,438,149,0.0
2001.0,3,124,84,52.0,482,327,621,246,713,240714.0,52990775.0,74,112,449,42,6,0.0
1966.0,4,111,170,82.0,336,155,792,751,420,56513.0,,700,172,646,690,232,
1986.0,4,120,170,76.0,103,269,453,189,523,181285.0,8551228.0,132,112,144,157,6,1.0
2018.0,1,134,88,49.0,64,496,483,289,77,450349.0,216428042.0,40,106,110,549,15,0.0
2002.0,3,129,132,56.0,73,343,716,63,405,62659.0,45289.0,700,172,646,690,232,
2003.0,3,103,172,85.0,281,359,825,409,506,77520.0,2380788.0,700,172,646,690,232,
1967.0,4,111,15,86.0,41,632,224,566,280,102415.0,,140,112,491,669,6,0.0
1997.0,3,155,137,85.0,376,416,415,104,560,239473.0,26400640.0,480,112,13,361,6,3.0
1993.0,3,180,122,47.0,480,143,368,76,245,28825.0,4496583.0,700,172,646,690,232,
2014.0,4,165,137,100.0,408,186,606,223,232,335533.0,25379975.0,520,112,77,254,163,0.0
